"source_file","source_page","section_heading","rate_category","notification_no","notification_date","rate_as_on_date","schedule","serial_no","hsn_code","description","source_rate","cgst_rate","sgst_rate","total_gst_rate","compensation_cess_rate","is_exempt","gst_rate","condition","footnote","amendment_note","raw_text"
"GST rates2025.pdf","1","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","1.","0101 21 00, 0101 29","Live horses","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","1. | 0101 21 00, 0101 29 | Live horses | 2.5%"
"GST rates2025.pdf","2","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","26.","0804","Dates (soft or hard), figs, pineapples, avocados, guavas, mangoes and mangosteens, dried","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","26. | 0804 | Dates (soft or hard), figs, pineapples, avocados, guavas, mangoes and mangosteens, dried | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","27.","0805","Citrus fruit, such as Oranges, Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids, Grapefruit, including pomelos, Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia), dried","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","27. | 0805 | Citrus fruit, such as Oranges, Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids, Grapefruit, including pomelos, Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia), dried | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","28.","0806","Grapes, dried, and raisins","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","28. | 0806 | Grapes, dried, and raisins | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","29.","0811","Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","29. | 0811 | Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","30.","0812","Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","30. | 0812 | Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","31.","0813","Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of Chapter 8 [other than dried tamarind]","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","31. | 0813 | Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of Chapter 8 [other than dried tamarind] | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","32.","0814","Peel of citrus fruit or melons (including watermelons), frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","32. | 0814 | Peel of citrus fruit or melons (including watermelons), frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","33.","0901","Coffee roasted, whether or not decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion [other than coffee beans not roasted]","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","33. | 0901 | Coffee roasted, whether or not decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion [other than coffee beans not roasted] | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","34.","0902","Tea, whether or not flavoured [other than unprocessed green leaves of tea]","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","34. | 0902 | Tea, whether or not flavoured [other than unprocessed green leaves of tea] | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","35.","0903","Maté","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","35. | 0903 | Maté | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","36.","0904","Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","36. | 0904 | Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","37.","0905","Vanilla","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","37. | 0905 | Vanilla | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","38.","0906","Cinnamon and cinnamon-tree flowers","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","38. | 0906 | Cinnamon and cinnamon-tree flowers | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","39.","0907","Cloves (whole fruit, cloves and stems)","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","39. | 0907 | Cloves (whole fruit, cloves and stems) | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","40.","0908","Nutmeg, mace and cardamoms","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","40. | 0908 | Nutmeg, mace and cardamoms | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","41.","0909","Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries [other than of seed quality]","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","41. | 0909 | Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries [other than of seed quality] | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","42.","0910 [other than 0910 11 10, 0910 30 10]","Ginger other than fresh ginger, saffron, turmeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","42. | 0910 [other than 0910 11 10, 0910 30 10] | Ginger other than fresh ginger, saffron, turmeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","43.","1001","Wheat and meslin, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","43. | 1001 | Wheat and meslin, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","44.","1002","Rye, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","44. | 1002 | Rye, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","45.","1003","Barley, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","45. | 1003 | Barley, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","46.","1004","Oats, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","46. | 1004 | Oats, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","47.","1005","Maize (corn), pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","47. | 1005 | Maize (corn), pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","48.","1006","Rice, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","48. | 1006 | Rice, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","49.","1007","Grain sorghum, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","49. | 1007 | Grain sorghum, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","50.","1008","Buckwheat, millet and canary seed; other cereals such as Jawar, Bajra, Ragi, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","50. | 1008 | Buckwheat, millet and canary seed; other cereals such as Jawar, Bajra, Ragi, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","51.","1101","Wheat or meslin flour, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","51. | 1101 | Wheat or meslin flour, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","3","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","52.","1102","Cereal flours other than of wheat or meslin i.e. maize (corn) flour, Rye flour, etc., pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","52. | 1102 | Cereal flours other than of wheat or meslin i.e. maize (corn) flour, Rye flour, etc., pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","53.","1103","Cereal groats, meal and pellets, including suji and dalia, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","53. | 1103 | Cereal groats, meal and pellets, including suji and dalia, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","54.","1104","Cereal grains otherwise worked (for example, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground (other than hulled cereal grains)","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","54. | 1104 | Cereal grains otherwise worked (for example, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground (other than hulled cereal grains) | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","55.","1105","Flour, meal, powder, flakes, granules and pellets of potatoes, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","55. | 1105 | Flour, meal, powder, flakes, granules and pellets of potatoes, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","56.","1106","Flour, meal and powder of the dried leguminous vegetables of heading 0713 (pulses) [other than guar meal (HS 1106 10 10) and guar gum refined split ( HS 0713)], of sago or of roots or tubers of heading 0714 or of the products of Chapter 8, pre-packaged and labelled","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","56. | 1106 | Flour, meal and powder of the dried leguminous vegetables of heading 0713 (pulses) [other than guar meal (HS 1106 10 10) and guar gum refined split ( HS 0713)], of sago or of roots or tubers of heading 0714 or of the products of Chapter 8, pre-packaged and labelled | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","57.","1107","Malt, whether or not roasted","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","57. | 1107 | Malt, whether or not roasted | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","58.","1108","Starches; inulin","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","58. | 1108 | Starches; inulin | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","59.","1109 00 00","Wheat gluten, whether or not dried","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","59. | 1109 00 00 | Wheat gluten, whether or not dried | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","60.","12","All goods other than of seed quality","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","60. | 12 | All goods other than of seed quality | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","61.","1201","Soya beans, whether or not broken other than of seed quality.","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","61. | 1201 | Soya beans, whether or not broken other than of seed quality. | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","62.","1202","Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken other than of seed quality.","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","62. | 1202 | Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken other than of seed quality. | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","63.","1203","Copra","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","63. | 1203 | Copra | 2.5%"
"GST rates2025.pdf","4","CGST rates on goods as on 22.09.2025","CGST","09/2025-Central Tax (Rate)","17th September, 2025","22.09.2025","Schedule I – 2.5%","64.","1204","Linseed, whether or not broken other than of seed quality.","2.5%","2.5%","2.5%","5%","","false","2.5%","","","","64. | 1204 | Linseed, whether or not broken other than of seed quality. | 2.5%"
